iter	Passed	Remaining
921	5540	6477
922	5546	6471
923	5552	6466
924	5558	6460
925	5565	6454
926	5571	6448
927	5577	6442
928	5582	6436
929	5588	6430
930	5596	6425
931	5602	6419
932	5608	6413
933	5613	6407
934	5619	6400
935	5625	6394
936	5630	6388
937	5636	6381
938	5642	6375
939	5647	6368
940	5653	6362
941	5659	6356
942	5664	6349
943	5670	6343
944	5676	6336
945	5681	6330
946	5687	6323
947	5693	6318
948	5699	6311
949	5704	6305
950	5710	6299
951	5716	6292
952	5722	6286
953	5727	6280
954	5733	6274
955	5739	6267
956	5744	6261
957	5750	6254
958	5756	6248
959	5761	6241
960	5767	6235
961	5772	6228
962	5778	6222
963	5784	6216
964	5789	6209
965	5795	6203
966	5801	6197
967	5806	6190
968	5812	6184
969	5817	6177
970	5823	6171
971	5829	6164
972	5834	6158
973	5840	6152
974	5846	6146
975	5852	6140
976	5857	6133
977	5863	6127
978	5869	6121
979	5874	6114
980	5880	6108
981	5886	6102
982	5892	6096
983	5898	6090
984	5903	6083
985	5909	6077
986	5915	6070
987	5920	6064
988	5926	6058
989	5932	6052
990	5938	6045
991	5943	6039
992	5949	6033
993	5955	6027
994	5961	6020
995	5967	6015
996	5973	6009
997	5979	6002
998	5984	5996
999	5990	5990
1000	5996	5984
1001	6001	5978
1002	6007	5971
1003	6013	5965
1004	6019	5959
1005	6025	5953
1006	6031	5947
1007	6037	5941
1008	6042	5935
1009	6048	5928
1010	6053	5922
1011	6059	5915
1012	6065	5909
1013	6071	5903
1014	6077	5897
1015	6082	5891
1016	6088	5885
1017	6094	5878
1018	6100	5872
1019	6105	5866
1020	6111	5859
1021	6116	5853
1022	6122	5847
1023	6128	5841
1024	6134	5835
1025	6140	5828
1026	6145	5822
1027	6151	5816
1028	6157	5810
1029	6162	5803
1030	6168	5797
1031	6174	5791
1032	6180	5785
1033	6186	5779
1034	6191	5773
1035	6197	5767
1036	6203	5760
1037	6208	5754
1038	6215	5748
1039	6220	5742
1040	6226	5735
1041	6232	5729
1042	6238	5723
1043	6243	5717
1044	6249	5711
1045	6254	5704
1046	6260	5698
1047	6266	5692
1048	6272	5686
1049	6280	5682
1050	6286	5676
1051	6292	5670
1052	6298	5664
1053	6304	5658
1054	6310	5652
1055	6316	5646
