,kontratTuru,kontratAdi,clearingQuantityAsk,clearingQuantityBid
166479,Saatlik,PH23031610,2261.0,2261.0
166481,Blok,PB23031611-01,876.9,876.9
166482,Blok,PB23031611-02,50.2,50.2
166483,Saatlik,PH23031611,2932.3,2932.3
166486,Blok,PB23031612-01,742.4,742.4
166487,Blok,PB23031612-03,0.4,0.4
166488,Saatlik,PH23031612,2461.3,2461.3
166491,Blok,PB23031613-01,815.9,815.9
166492,Blok,PB23031613-04,0.4,0.4
166493,Blok,PB23031613-10,50.0,50.0
166494,Saatlik,PH23031613,1677.7,1677.7
166499,Blok,PB23031614-01,770.2,770.2
166500,Saatlik,PH23031614,2473.9,2473.9
166504,Blok,PB23031615-01,662.2,662.2
166505,Saatlik,PH23031615,1759.6,1759.6
166509,Blok,PB23031616-01,767.6,767.6
166510,Blok,PB23031616-06,0.4,0.4
166511,Saatlik,PH23031616,1546.6,1546.6
166515,Blok,PB23031617-01,718.9,718.9
166516,Blok,PB23031617-02,0.1,0.1
166517,Saatlik,PH23031617,1327.3,1327.3
166522,Blok,PB23031618-01,599.9,599.9
166523,Blok,PB23031618-02,0.8,0.8
166524,Saatlik,PH23031618,1505.0,1505.0
166529,Blok,PB23031619-01,490.6,490.6
166530,Blok,PB23031619-02,0.1,0.1
166531,Saatlik,PH23031619,1873.9,1873.9
166536,Blok,PB23031620-01,629.6,629.6
166537,Saatlik,PH23031620,1536.1,1536.1
166541,Blok,PB23031621-01,714.9,714.9
166542,Blok,PB23031621-02,7.0,7.0
166543,Saatlik,PH23031621,1854.0,1854.0
166547,Blok,PB23031622-01,569.0,569.0
166548,Saatlik,PH23031622,2690.2,2690.2
166550,Blok,PB23031623-01,660.2,660.2
166551,Saatlik,PH23031623,3189.1,3189.1
166552,Blok,PB23031700-01,588.7,588.7
166553,Blok,PB23031700-24,115.3,115.3
166554,Saatlik,PH23031700,644.0,644.0
166556,Blok,PB23031701-01,674.1,674.1
166557,Blok,PB23031701-11,3.0,3.0
166558,Saatlik,PH23031701,1308.8,1308.8
166561,Blok,PB23031702-01,626.6,626.6
166562,Saatlik,PH23031702,1399.1,1399.1
166565,Blok,PB23031703-01,676.0,676.0
166566,Blok,PB23031703-05,50.0,50.0
166567,Saatlik,PH23031703,1381.7,1381.7
166571,Blok,PB23031704-01,580.8,580.8
166572,Blok,PB23031704-02,15.8,15.8
166573,Blok,PB23031704-03,25.0,25.0
166574,Saatlik,PH23031704,1178.7,1178.7
166580,Blok,PB23031705-01,556.5,556.5
166581,Saatlik,PH23031705,1312.3,1312.3
166586,Blok,PB23031706-01,620.4,620.4
166587,Saatlik,PH23031706,1223.9,1223.9
166591,Blok,PB23031707-01,559.4,559.4
166592,Saatlik,PH23031707,861.3,861.3
166595,Blok,PB23031708-01,570.9,570.9
166596,Blok,PB23031708-02,57.5,57.5
166597,Blok,PB23031708-03,90.5,90.5
166598,Saatlik,PH23031708,1608.0,1608.0
166603,Blok,PB23031709-01,554.7,554.7
166604,Saatlik,PH23031709,1457.6,1457.6
166608,Blok,PB23031710-01,615.1,615.1
166609,Blok,PB23031710-02,25.9,25.9
166610,Saatlik,PH23031710,2056.3,2056.3
166614,Blok,PB23031711-01,730.0,730.0
166615,Saatlik,PH23031711,936.9,936.9
166617,Blok,PB23031712-01,644.8,644.8
166618,Blok,PB23031712-02,100.0,100.0
166619,Saatlik,PH23031712,1197.1,1197.1
166622,Blok,PB23031713-01,786.7,786.7
166623,Blok,PB23031713-03,1.0,1.0
166624,Blok,PB23031713-04,0.3,0.3
166625,Saatlik,PH23031713,1862.6,1862.6
166629,Blok,PB23031714-01,755.2,755.2
166630,Blok,PB23031714-02,71.0,71.0
166631,Blok,PB23031714-05,22.0,22.0
166632,Saatlik,PH23031714,1165.2,1165.2
166638,Blok,PB23031715-01,745.0,745.0
166639,Saatlik,PH23031715,1437.2,1437.2
166643,Blok,PB23031716-01,890.6,890.6
166644,Blok,PB23031716-03,25.0,25.0
166645,Saatlik,PH23031716,1588.2,1588.2
166649,Blok,PB23031717-01,903.4,903.4
166650,Saatlik,PH23031717,1621.9,1621.9
166654,Blok,PB23031718-01,582.7,582.7
166655,Blok,PB23031718-02,11.1,11.1
166656,Blok,PB23031718-03,1.0,1.0
166657,Blok,PB23031718-06,3.0,3.0
166658,Saatlik,PH23031718,1161.8,1161.8
166663,Blok,PB23031719-01,820.9,820.9
166664,Blok,PB23031719-02,24.4,24.4
166665,Saatlik,PH23031719,1000.0,1000.0
166670,Blok,PB23031720-01,1037.8,1037.8
166671,Blok,PB23031720-02,6.0,6.0
166672,Saatlik,PH23031720,1422.3,1422.3
166676,Blok,PB23031721-01,1060.2,1060.2
166677,Saatlik,PH23031721,1284.9,1284.9
166680,Blok,PB23031722-01,1173.7,1173.7
166681,Saatlik,PH23031722,1317.7,1317.7
166684,Blok,PB23031723-01,1310.9,1310.9
166685,Saatlik,PH23031723,2165.0,2165.0
