Type,Plant / Project name,Capacity (MW),Status,Start year,Latitude,Longitude,Location accuracy,City,GEM.Wiki URL
solar,Corum Hybrid solar project,6.2,operating,,40.5491,34.9602,approximate,Corum,https://www.gem.wiki/Corum_Hybrid_solar_project
solar,Corum solar farm,10.3,operating,2017,40.4906,34.8939,exact,,https://www.gem.wiki/Corum_solar_farm
solar,Corum Sungurlu Osb Piroliz Tesisi solar project,2.4,operating,,40.5491,34.9602,approximate,Corum,https://www.gem.wiki/Corum_Sungurlu_Osb_Piroliz_Tesisi_solar_project
solar,Cumra Biyogaz Enerji Uretim Santrali solar project,6.2,operating,,37.8727,32.4924,approximate,Konya,https://www.gem.wiki/Cumra_Biyogaz_Enerji_Uretim_Santrali_solar_project
solar,Dariveren Hybrid solar project,3.2,operating,,41.0918,29.7895,approximate,Denizli,https://www.gem.wiki/Dariveren_Hybrid_solar_project
solar,De Solar 7 Hybrid solar project,3.3,operating,,39.9208,32.854,approximate,Ankara,https://www.gem.wiki/De_Solar_7_Hybrid_solar_project
solar,Degisoren solar farm,5.8,operating,2017,39.7761,30.5208,approximate,,https://www.gem.wiki/Degisoren_solar_farm
solar,Demircit solar project,9,operating,2017,37.215,34.999,approximate,Demirçit,https://www.gem.wiki/Demircit_solar_project
solar,Denizli Enerji Biyogaz Tesisi solar project,1.5,operating,,37.8276,29.239,approximate,Denizli,https://www.gem.wiki/Denizli_Enerji_Biyogaz_Tesisi_solar_project
solar,Denizli solar farm,14,operating,2017,37.868,29.078,exact,,https://www.gem.wiki/Denizli_solar_farm
solar,Denizli Tavas solar farm,5.7,operating,2019,37.611,29.0821,exact,Denizli,https://www.gem.wiki/Denizli_Tavas_solar_farm
solar,Denizli Tavas solar farm,3.3,operating,2019,37.611,29.0821,exact,Denizli,https://www.gem.wiki/Denizli_Tavas_solar_farm
solar,Derekoy Reg. Ve Hybrid solar project,5.8,operating,,36.8865,30.703,approximate,Antalya,https://www.gem.wiki/Derekoy_Reg._Ve_Hybrid_solar_project
solar,Derinkuyu solar farm,17,operating,,38.4201,34.688,exact,,https://www.gem.wiki/Derinkuyu_solar_farm
solar,Dharma Biogaz solar project,1.5,operating,,39.7744,30.5191,approximate,Eskisehir,https://www.gem.wiki/Dharma_Biogaz_solar_project
solar,Didim solar project,11,operating,2017,37.427,27.275,approximate,,https://www.gem.wiki/Didim_solar_project
solar,Dinar Biyogaz Tesisi solar project,1.2,operating,,38.6853,30.6427,approximate,Afyonkarahisar,https://www.gem.wiki/Dinar_Biyogaz_Tesisi_solar_project
solar,Dnz Copgazi Elektrik Uretim Tesisi solar project,5.8,operating,,37.8276,29.239,approximate,Denizli,https://www.gem.wiki/Dnz_Copgazi_Elektrik_Uretim_Tesisi_solar_project
solar,Dogalar solar farm,5.2,operating,2017,39.4181,29.9943,approximate,,https://www.gem.wiki/Dogalar_solar_farm
solar,Dogu Hybrid solar project,10.3,operating,,38.8861,40.4972,approximate,Bingol,https://www.gem.wiki/Dogu_Hybrid_solar_project
solar,Duru Reg. Ve Hybrid solar project,10.7,operating,,40.6569,35.7727,approximate,Amasya,https://www.gem.wiki/Duru_Reg._Ve_Hybrid_solar_project
solar,Durum Gida Termik-Kojenerasyon solar project,14.2,operating,,36.7978,34.6298,approximate,Mersin,https://www.gem.wiki/Durum_Gida_Termik-Kojenerasyon_solar_project
solar,Duzce Biyokutle Enerji Uretim Tesisi solar project,12.5,operating,,40.8775,31.201,approximate,Duzce,https://www.gem.wiki/Duzce_Biyokutle_Enerji_Uretim_Tesisi_solar_project
solar,Edikli solar farm,15.2,operating,2020,38.2858,34.9621,exact,Nigde,https://www.gem.wiki/Edikli_solar_farm
solar,Edirne Biyometanizasyon Elektrik Uretim Tesisi solar project,1.6,operating,,41.6764,26.5567,approximate,Edirne,https://www.gem.wiki/Edirne_Biyometanizasyon_Elektrik_Uretim_Tesisi_solar_project
solar,Ege Ii-Iii-Iv Hybrid solar project,4,operating,,41.0918,29.7895,approximate,Denizli,https://www.gem.wiki/Ege_Ii-Iii-Iv_Hybrid_solar_project
solar,Egribayat solar project,11,operating,2018,38.114,32.7823,approximate,Eğribayat,https://www.gem.wiki/Egribayat_solar_project
solar,Ekomas Kirklareli Biyokutle solar project,10.5,operating,,41.7078,27.6051,approximate,Kirklareli,https://www.gem.wiki/Ekomas_Kirklareli_Biyokutle_solar_project
solar,Elazig Biokutle Enerji Santrali solar project,2.8,operating,,38.5825,39.3962,approximate,Elazig,https://www.gem.wiki/Elazig_Biokutle_Enerji_Santrali_solar_project
solar,Emet solar farm,5.7,operating,2017,39.4181,29.9943,approximate,,https://www.gem.wiki/Emet_solar_farm
solar,Emirdag solar farm,5.8,operating,2017,39.047,31.377,exact,,https://www.gem.wiki/Emirdag_solar_farm
solar,Emirler 1 Hybrid solar project,3.5,operating,,37.8276,29.239,approximate,Denizli,https://www.gem.wiki/Emirler_1_Hybrid_solar_project
